MeetingDate,MeetingType,BodyName,EventInSiteURL,EventAgendaFile,EventMinutesFile,EventVideoPath,MatterTypeName,MatterRequester,AgendaItemNumber,AgendaItemTitle,AgendaItemDescription,MatterPassedDate,MatterNotes,EventItemConsent,EventItemPassedFlag,EventItemTally,IndexName,ActionName,ActionText,EventItemAgendaNote,EventItemMinutesNote,Mover,Seconder,MatterSponsors,MatterAttachmentURLs,EventItemVideo,ResultsURL,FileNumber,FileDetailURL,Kate Gallego (Mayor),Thelda Williams (D1-Vice Mayor),Jim Waring (D2),Debra Stark (D3),Laura Pastor (D4),Betty Guardado (D5),Sal DiCiccio (D6),Michael Nowakowski (D7),Carlos Garcia (D8)
2020-01-08,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=1686&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,CALL TO ORDER AND ROLL CALL,,,,0,,,,,,,,,,,,https://youtu.be/1YQ40-SUAXE?si=43_aJD24dZdib3EE,https://phoenix.legistar.com/View.ashx?M=E2&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,,Absent,Absent,,
2020-01-08,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=1686&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,BOARDS AND COMMISSIONS,,,,0,,,,,,,,,,,,https://youtu.be/1YQ40-SUAXE?si=43_aJD24dZdib3EE,https://phoenix.legistar.com/View.ashx?M=E2&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,,Absent,Absent,,
2020-01-08,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=1686&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,"LIQUOR LICENSES, BINGO, AND OFF-TRACK BETTING LICENSE APPLICATIONS",,,,0,,,,,,,,,,,,https://youtu.be/1YQ40-SUAXE?si=43_aJD24dZdib3EE,https://phoenix.legistar.com/View.ashx?M=E2&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,,Absent,Absent,,
2020-01-08,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=1686&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,License - Liquor,,15,Liquor License - Nook Kitchen,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,https://youtu.be/1YQ40-SUAXE?si=43_aJD24dZdib3EE,https://phoenix.legistar.com/View.ashx?M=E2&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,19-3225,https://phoenix.legistar.com/LegislationDetail.aspx?ID=4292789&GUID=899A4E55-86BB-47E4-A80F-2D8ECDF01A90&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Yes,Yes
2020-01-08,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=1686&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,License - Liquor,,7,Liquor License - Wingstop,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,https://youtu.be/1YQ40-SUAXE?si=43_aJD24dZdib3EE,https://phoenix.legistar.com/View.ashx?M=E2&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,19-3230,https://phoenix.legistar.com/LegislationDetail.aspx?ID=4292790&GUID=3BCD1B6A-C7E0-4C7D-AB93-BC27FA5F65E2&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Yes,Yes
2020-01-08,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=1686&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,License - Liquor,,13,Liquor License - Bamboo Sushi,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,https://youtu.be/1YQ40-SUAXE?si=43_aJD24dZdib3EE,https://phoenix.legistar.com/View.ashx?M=E2&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,19-3231,https://phoenix.legistar.com/LegislationDetail.aspx?ID=4292791&GUID=AF01E3CB-F34A-475F-B974-320785F762D8&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Yes,Yes
2020-01-08,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=1686&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,License - Liquor,,6,Liquor License - Eddie's Tavern,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,https://youtu.be/1YQ40-SUAXE?si=43_aJD24dZdib3EE,https://phoenix.legistar.com/View.ashx?M=E2&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,19-3232,https://phoenix.legistar.com/LegislationDetail.aspx?ID=4292792&GUID=5335598D-609A-4BE5-A5D8-A23A046205E3&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Yes,Yes
2020-01-08,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=1686&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,License - Liquor,,4,Liquor License - Corner Cafe,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,https://youtu.be/1YQ40-SUAXE?si=43_aJD24dZdib3EE,https://phoenix.legistar.com/View.ashx?M=E2&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,19-3233,https://phoenix.legistar.com/LegislationDetail.aspx?ID=4292793&GUID=CA06D334-D33A-4004-9689-575FADA5B17A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Yes,Yes
2020-01-08,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=1686&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,License - Liquor,,5,Liquor License - Hula's Modern Tiki,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,https://youtu.be/1YQ40-SUAXE?si=43_aJD24dZdib3EE,https://phoenix.legistar.com/View.ashx?M=E2&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,19-3235,https://phoenix.legistar.com/LegislationDetail.aspx?ID=4292794&GUID=0E926419-502E-4838-B2D9-B992D36DA6BE&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Yes,Yes
2020-01-08,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=1686&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,License - Liquor,,16,Liquor License - Syndicate,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,https://youtu.be/1YQ40-SUAXE?si=43_aJD24dZdib3EE,https://phoenix.legistar.com/View.ashx?M=E2&ID=725882&GUID=9E5D0DD1-72C1-40C0-A578-10F46EDB450A&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,19-3236,https://phoenix.legistar.com/LegislationDetail.aspx?ID=4292795&GUID=946E7A35-75F0-49CF-93D5-EE3ED5D4C1CB&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Yes,Yes
