MeetingDate,MeetingType,BodyName,EventInSiteURL,EventAgendaFile,EventMinutesFile,EventVideoPath,MatterTypeName,MatterRequester,AgendaItemNumber,AgendaItemTitle,AgendaItemDescription,MatterPassedDate,MatterNotes,EventItemConsent,EventItemPassedFlag,EventItemTally,IndexName,ActionName,ActionText,EventItemAgendaNote,EventItemMinutesNote,Mover,Seconder,MatterSponsors,MatterAttachmentURLs,EventItemVideo,Kate Gallego (Mayor),Ann O'Brien (D1-Vice Mayor),Jim Waring (D2),Debra Stark (D3),Laura Pastor (D4),Betty Guardado (D5),Kevin Robinson (D6),Anna Hernandez (D7),Kesha Hodge Washington (D8)
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,CALL TO ORDER AND ROLL CALL,,,,0,,,,,,,,,,,,,Present,Present,Present,Present,Present,Absent,Present,,Present
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,MINUTES OF MEETINGS,,,,0,,,,,,,,,,,,,,,,,,,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Minutes,,1,"(CONTINUED FROM DEC. 13, 2023) - For Approval or Correction, the Minutes of the Formal Meeting on March 3, 2021",,,,0,1,,,approved,"A motion was made by Councilman Waring, seconded by Councilwoman Stark, that this item be approved. The motion carried by the following voice vote:",,,Jim Waring,Debra Stark,,,,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,BOARDS AND COMMISSIONS,,,,0,,,,,,,,,,,,,,,,,,,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Board & Commission,,2,Mayor and Council Appointments to Boards and Commissions,,,,0,1,,,approved as amended,"A motion was made by Vice Mayor Ansari, seconded by Councilwoman Stark, that this item be approved as revised. The motion carried by the following voice vote:",,,Yassamin Ansari,Debra Stark,,,,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,"LIQUOR LICENSES, BINGO, AND OFF-TRACK BETTING LICENSE APPLICATIONS",,,,0,,,,,,,,,,,,,,,,,,,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Liquor,,9,Liquor License - Postino Central,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Liquor,,8,Liquor License - Federal Pizza,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Liquor,,7,Liquor License - Cielo Rojo LLC,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Liquor,,17,Liquor License - La Cruda Mariscos y Clamatos,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Liquor,,4,Liquor License - Postino Kierland,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Liquor,,18,Liquor License - Sana Sana Cerveceria,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Liquor,,12,Liquor License - Chevron,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Liquor,,11,Liquor License - Ambrogio15,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Special Event,,15,Liquor License - Special Event - Alwun House Foundation,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Special Event,,14,Liquor License - Special Event - Alwun House Foundation,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Special Event,,16,"Liquor License - Special Event - Arizona Diamondbacks Foundation, Inc.",,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Special Event,,5,Liquor License - Special Event - Phoenix Chinese Week,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Special Event,,10,Liquor License - Special Event - CASA Academy,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Special Event,,3,Liquor License - Special Event - St. John the Baptist - Romanian Orthodox Church,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Special Event,,6,"Liquor License - Special Event - 7th Avenue Merchants Association, Inc.",,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,License - Special Event,,13,Liquor License - Special Event - Alwun House Foundation,,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Petition,,96,Consideration of a Citizen Petition Related to the Procedures for Citizen Petitions,,,,0,1,,,approved,"A motion was made by Vice Mayor  Ansari, seconded by Councilwoman Stark, that this item be approved per staff recommendation. The motion carried by the following vote:",,,Yassamin Ansari,Debra Stark,,,,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,"ORDINANCES, RESOLUTIONS, AND NEW BUSINESS",,,,0,,,,,,,,,,,,,,,,,,,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Payment Ordinance,,19,Various Vendors for 2024 Aviation Business Summit,,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Payment Ordinance,,20,Salt River Valley Water Users' Association dba SRP,,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Payment Ordinance,,21,"C.M. Buck & Associates, Inc. DBA Associated Controls + Design",,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Payment Ordinance,,22,FreshStrategies and Solutions LLC,,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Payment Ordinance,,23,"Irth Solutions, LLC",,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,ADMINISTRATION,,,,0,,,,,,,,,,,,,,,,,,,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-G,,82,"(CONTINUED FROM OCT. 4, NOV. 1 AND DEC. 6, 2023) - Amend City Code - Ordinance Adoption - Rezoning Application Z-27-23-1 - Southwest Corner of 19th Avenue and Quail Avenue (Ordinance G-7172)",,,,1,1,,,continued,"This item was continued to the Jan. 24, 2024 City Council Formal Meeting.",,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Resolution,,92,"(CONTINUED FROM DEC. 6, 2023) - Public Hearing and Resolution Adoption - General Plan Amendment GPA-SM-1-23-8 - Northeast Corner of 12th Street and Jones Avenue (Resolution 22170)",,,,0,1,,,adopted,"The hearing was held. A motion was made by Councilwoman Hodge Washington, seconded by Councilwoman Stark, that this item be approved per the Planning Commission recommendation with adoption of the related resolution. The motion carried by the following vote:",,,Kesha Hodge Washington,Debra Stark,,,,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,26,"Authorization to License Vacant City-owned Land to CS Construction, Inc. Plan (Ordinance S-50444)",,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,27,Acquisition of Easements for the Mobility Area 5 - 35th Avenue and Buckeye Road Project (Ordinance S-50447),,,,0,1,,,adopted,"A motion was made by Vice Mayor Ansari, seconded by Councilwoman Pastor, that this item be adopted. The motion carried by the following vote:",,,Yassamin Ansari,Laura Pastor,,,,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,28,"Acquisition of Easements for Roadway Improvements Along Elm Street, West of 35th Avenue and Along Colter Street, West of 23rd Avenue (Ordinance S-50448)",,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,29,Acquisition of Easements for the 36th Street Relief Sewer Project (Ordinance S-50449),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
