MeetingDate,MeetingType,BodyName,EventInSiteURL,EventAgendaFile,EventMinutesFile,EventVideoPath,MatterTypeName,MatterRequester,AgendaItemNumber,AgendaItemTitle,AgendaItemDescription,MatterPassedDate,MatterNotes,EventItemConsent,EventItemPassedFlag,EventItemTally,IndexName,ActionName,ActionText,EventItemAgendaNote,EventItemMinutesNote,Mover,Seconder,MatterSponsors,MatterAttachmentURLs,EventItemVideo,ResultsURL,FileNumber,FileDetailURL,Kate Gallego (Mayor),Ann O'Brien (D1-Vice Mayor),Jim Waring (D2),Debra Stark (D3),Laura Pastor (D4),Betty Guardado (D5),Kevin Robinson (D6),Yassamin Ansari (D7),Kesha Hodge Washington (D8)
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,CALL TO ORDER AND ROLL CALL,,,,0,,,,,,,,,,,,https://www.youtube.com/live/2pYatm9O8M8?si=9HWd36Ti3Fl6PKAT,https://phoenix.legistar.com/View.ashx?M=E2&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,Absent,,,Absent,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,MINUTES OF MEETINGS,,,,0,,,,,,,,,,,,https://www.youtube.com/live/2pYatm9O8M8?si=9HWd36Ti3Fl6PKAT,https://phoenix.legistar.com/View.ashx?M=E2&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,Absent,,,Absent,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,Minutes,,1,"(CONTINUED FROM DEC. 13, 2023) - For Approval or Correction, the Minutes of the Formal Meeting on March 3, 2021","This item transmits the minutes of the Formal Meeting of March 3, 2021, for review, correction and/or approval by the City Council. The minutes are available for review in the City Clerk Department, 200 W. Washington St., 15th Floor. This item is submitted by Deputy City Manager Ginger Spencer and the City Clerk Department.",,,0,1,,,approved,"A motion was made by Councilman Waring, seconded by Councilwoman Stark, that this item be approved. The motion carried by the following voice vote:",,,Jim Waring,Debra Stark,,,https://www.youtube.com/live/2pYatm9O8M8?si=9HWd36Ti3Fl6PKAT,https://phoenix.legistar.com/View.ashx?M=E2&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,23-3110,https://phoenix.legistar.com/LegislationDetail.aspx?ID=6459431&GUID=52BBBDF6-D687-45B5-9F63-B2C3FFE10A1E&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Absent,Yes,Yes,Absent,Yes,Yes,Yes
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,BOARDS AND COMMISSIONS,,,,0,,,,,,,,,,,,https://www.youtube.com/live/2pYatm9O8M8?si=9HWd36Ti3Fl6PKAT,https://phoenix.legistar.com/View.ashx?M=E2&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,Absent,,,Absent,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,Board & Commission,,2,Mayor and Council Appointments to Boards and Commissions,This item transmits recommendations from the Mayor and Council for appointment or reappointment to City Boards and Commissions. This item is submitted by the Mayor's Office.,,,0,1,,,approved as amended,"A motion was made by Vice Mayor Ansari, seconded by Councilwoman Stark, that this item be approved as revised. The motion carried by the following voice vote:",,,Yassamin Ansari,Debra Stark,,,https://www.youtube.com/live/2pYatm9O8M8?si=9HWd36Ti3Fl6PKAT,https://phoenix.legistar.com/View.ashx?M=E2&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,23-3043,https://phoenix.legistar.com/LegislationDetail.aspx?ID=6611314&GUID=0498BD46-CBD0-4319-98A5-400D95A16CAC&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Absent,Yes,Yes,Absent,Yes,Yes,Yes
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,"LIQUOR LICENSES, BINGO, AND OFF-TRACK BETTING LICENSE APPLICATIONS",,,,0,,,,,,,,,,,,https://www.youtube.com/live/2pYatm9O8M8?si=9HWd36Ti3Fl6PKAT,https://phoenix.legistar.com/View.ashx?M=E2&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,Absent,,,Absent,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,License - Liquor,,9,Liquor License - Postino Central,Liquor License - Postino Central Request for a liquor license. Arizona State License Application 264804. Zoning Classification: C-2 TOD-1,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,https://www.youtube.com/live/2pYatm9O8M8?si=9HWd36Ti3Fl6PKAT,https://phoenix.legistar.com/View.ashx?M=E2&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,23-2912,https://phoenix.legistar.com/LegislationDetail.aspx?ID=6459371&GUID=F8040F53-D777-4DBC-A0A9-930B396D973C&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Absent,Yes,Yes,Absent,Yes,Yes,Yes
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,License - Liquor,,8,Liquor License - Federal Pizza,"Request for a liquor license. Arizona State License Application 264827. Zoning Classification: C-2 TOD-1 This request is for a new liquor license for a restaurant. This location is currently licensed for liquor sales with a Series 7 - Beer and Wine Bar, liquor license.",,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,https://www.youtube.com/live/2pYatm9O8M8?si=9HWd36Ti3Fl6PKAT,https://phoenix.legistar.com/View.ashx?M=E2&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,23-2954,https://phoenix.legistar.com/LegislationDetail.aspx?ID=6459379&GUID=7E7D37A5-A51C-4645-B966-EA49B8A6AB63&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Absent,Yes,Yes,Absent,Yes,Yes,Yes
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,License - Liquor,,7,Liquor License - Cielo Rojo LLC,Liquor License - Cielo Rojo LLC Request for a liquor license. Arizona State License Application 266181. This request is for a new liquor license for a restaurant. This location was not previously licensed for liquor sales and does not have an interim permit.,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,https://www.youtube.com/live/2pYatm9O8M8?si=9HWd36Ti3Fl6PKAT,https://phoenix.legistar.com/View.ashx?M=E2&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,23-2956,https://phoenix.legistar.com/LegislationDetail.aspx?ID=6459380&GUID=F4862BC8-57F0-4544-BA06-974BEFBC56D9&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Absent,Yes,Yes,Absent,Yes,Yes,Yes
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=A&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,https://phoenix.legistar.com/View.ashx?M=M&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,License - Liquor,,17,Liquor License - La Cruda Mariscos y Clamatos,Liquor License - La Cruda Mariscos y Clamatos Request for a liquor license. Arizona State License Application 264930. This request is for a new liquor license for a restaurant. This location was not previously licensed for liquor sales and does not have an interim permit.,,,1,1,,,recommended for approval,This item was recommended for approval.,,,,,,,https://www.youtube.com/live/2pYatm9O8M8?si=9HWd36Ti3Fl6PKAT,https://phoenix.legistar.com/View.ashx?M=E2&ID=1137939&GUID=5B039FB7-6043-47B6-95F3-3029E4605E01&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,23-3016,https://phoenix.legistar.com/LegislationDetail.aspx?ID=6459397&GUID=A44A9AD3-C44B-493E-863E-8B8176137760&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C&Options=&Search=,Yes,Yes,Absent,Yes,Yes,Absent,Yes,Yes,Yes
